full_address,name,zip_code,ave_rating,ave_review_count,num,NAME
"114 Bruckner Blvd, Bronx, NY 10454,",Dunkin',10454,2.5,16,1,DD
"11420 Sutphin Blvd, Jamaica, NY 11434,",Dunkin',11434,1,9,1,DD
"1149 Utica Ave, Brooklyn, NY 11203,",Dunkin',11203,3,1,1,DD
"1151 Fulton St, Brooklyn, NY 11216,",Dunkin',11216,1.5,6,1,DD
"11602 Metropolitan Ave, Richmond Hill, NY 11418,",Dunkin',11418,1.5,24,1,DD
"122 Fulton St, New York, NY 10038,",Dunkin',10038,2,29,1,DD
"1225 1st Ave, New York, NY 10021,",Dunkin Donuts-Baskin Robbins-Togo's,10021,2.5,20,1,DD
"1225 1st Ave, New York, NY 10021,",Dunkin',10021,2.5,35,1,DD
"126 Jericho Turnpike, Mineola, NY 11501,",Dunkin',11501,2,25,1,DD
"127 East 23rd St, New York, NY 10010,",Dunkin',10010,2,28,1,DD
"1285 Castle Hill Ave, Bronx, NY 10462,",Dunkin' Donuts,10462,2.5,9,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10002,2.5,12,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10011,1.5,23,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10018,2,23,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10019,2.5,20,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10036,3,16,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10128,2.5,30,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',10458,3.5,4,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11040,3.5,27,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11103,2.5,17,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11211,3.5,9,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11215,2,13,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11235,2,17,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11354,3,19,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11355,2,22,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11364,2,27,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11370,2,23,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11420,4,6,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11432,2.5,21,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11434,2.5,9,1,DD
"12903 N Conduit Ave, South Ozone Park, NY 11420,",Dunkin',11579,2.5,3,1,DD
"13 Graham Ave, Brooklyn, NY 11206,",Dunkin',11206,2.5,12,1,DD
"130 Dyckman St, New York, NY 10040,",Dunkin',10040,2,23,1,DD
"1309 Fulton St, Brooklyn, NY 11216,",Dunkin',11216,2.5,13,1,DD
"1311 Boston Post Rd, Larchmont, NY 10538,",Dunkin',10538,3.5,10,1,DD
"1320 Hutchinson River Pkwy, Bronx, NY 10461,",Dunkin',10461,2.5,14,1,DD
"13328 Springfield Blvd, Jamaica, NY 11413,",Dunkin',11413,2,9,1,DD
"1351 Forest Ave, Staten Island, NY 10302,",Dunkin',10302,1.5,17,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10001,2.5,12,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10009,2.5,22,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10032,3,21,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10036,3.5,53,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10128,2,29,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10304,2.5,5,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10461,3.5,5,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10543,4,6,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',10801,3.5,12,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11040,3,20,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11218,3,11,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11226,3,14,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11229,2,13,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11236,2.5,10,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11239,4.5,3,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11358,3,16,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11362,2,45,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11375,2.5,42,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11414,2.5,24,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11561,1.5,25,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11563,3.5,22,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11577,2.5,18,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin',11691,1.5,9,1,DD
"1351 Paterson Plank Rd, Secaucus, NJ 07094,",Dunkin' Donuts,11385,3,1,1,DD
"1358 Pennsylvania Ave, Brooklyn, NY 11239,",Dunkin',11239,2,12,1,DD
"137-05 20th Ave, College Point, NY 11356,",Dunkin',11356,2,1,1,DD
"1375 Rockaway Parkway, Brooklyn, NY 11236,",Dunkin',11236,2.5,7,1,DD
"139 Centre St, New York, NY 10013,",Dunkin Dounuts,11226,3,1,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10010,2,20,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10011,2.5,36,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10013,1.5,26,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10027,2,13,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10029,2.5,27,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10036,2.5,43,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10038,2.5,3,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10103,2,13,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10128,2.5,20,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',10301,4,7,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11004,2.5,43,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11101,2.5,11,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11102,2,5,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11206,2.5,11,1,DD
"139 Centre St, New York, NY 10013,",Dunkin',11207,2,8,1,DD
