id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address,borough,price_num
GxMhN2PEttvw7CRGIzB6Gg,barons-brooklyn,Baron's,https://s3-media2.fl.yelpcdn.com/bphoto/j7KKRlb0_y_Rv5KFhlRnpg/o.jpg,FALSE,https://www.yelp.com/biz/barons-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,290,4,40.6908116,-73.953915,"c(""restaurant_reservation"", ""pickup"")",$$,4451.49213329894,564 Dekalb Ave,Brooklyn,NY,11205,"newamerican, bars, seafood, American (New), Bars, Seafood,","564 Dekalb Ave, Brooklyn, NY 11205,",Brooklyn,2
1x2hn3e9sCCZca1cnRTpEg,claw-daddys-brooklyn,Claw Daddy's,https://s3-media3.fl.yelpcdn.com/bphoto/ABHo2xn4dcpVspJkaQ_g-g/o.jpg,FALSE,https://www.yelp.com/biz/claw-daddys-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,467,4,40.68561,-73.98035,restaurant_reservation,$$,5062.3374043146,31 3rd Ave,Brooklyn,NY,11217,"cajun, seafood, Cajun/Creole, Seafood,","31 3rd Ave, Brooklyn, NY 11217,",Brooklyn,2
Xw34tTIGTE0WdWVmXc02Vw,money-cat-brooklyn,Money Cat,https://s3-media3.fl.yelpcdn.com/bphoto/LKPBNBFXDjR0MAgeLKEwyg/o.jpg,FALSE,https://www.yelp.com/biz/money-cat-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,27,4.5,40.690851,-73.90883,"c(""pickup"", ""delivery"")",NA,4999.37255693336,554 Wilson Ave,Brooklyn,NY,11207,"vietnamese, Vietnamese,","554 Wilson Ave, Brooklyn, NY 11207,",Brooklyn,NA
_l40VhhS3pNm55yZTLgLuw,velvet-brooklyn-brooklyn-2,Velvet Brooklyn,https://s3-media2.fl.yelpcdn.com/bphoto/kvdvd-dSea0vhHf0LQktnw/o.jpg,FALSE,https://www.yelp.com/biz/velvet-brooklyn-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,78,4,40.7100847891067,-73.9625787734985,character(0),$$,6713.80476235173,174 Broadway,Brooklyn,NY,11211,"lounges, venues, cafes, Lounges, Venues & Event Spaces, Cafes,","174 Broadway, Brooklyn, NY 11211,",Brooklyn,2
tXWA5kUJnZY_NbED1-ST0g,la-ñapa-brooklyn-2,La Ñapa,https://s3-media1.fl.yelpcdn.com/bphoto/B2y1TZeh2zaKXg9OTqVAdw/o.jpg,FALSE,https://www.yelp.com/biz/la-%C3%B1apa-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,65,4.5,40.67596,-73.95007,"c(""restaurant_reservation"", ""delivery"", ""pickup"")",$$,2773.11682818754,656 Nostrand Ave,Brooklyn,NY,11216,"tapas, wine_bars, seafood, Tapas Bars, Wine Bars, Seafood,","656 Nostrand Ave, Brooklyn, NY 11216,",Brooklyn,2
96svxj2NIOrba2fBMZAqOQ,bogota-latin-bistro-brooklyn,Bogota Latin Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/lQQagEikw8TVn5qpbNgVRA/o.jpg,FALSE,https://www.yelp.com/biz/bogota-latin-bistro-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,2185,4,40.678165,-73.978976,"c(""restaurant_reservation"", ""pickup"", ""delivery"")",$$,4406.40906366484,141 5th Ave,Brooklyn,NY,11217,"gluten_free, colombian, Gluten-Free, Colombian,","141 5th Ave, Brooklyn, NY 11217,",Brooklyn,2
oOsJn3leUnWDfErRWMf81g,soco-brooklyn,Soco,https://s3-media3.fl.yelpcdn.com/bphoto/MQqWdJcIgIgtSI3UiVHS6A/o.jpg,FALSE,https://www.yelp.com/biz/soco-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,2136,4,40.693866,-73.964535,"c(""pickup"", ""delivery"")",$$,5083.13785025561,509 Myrtle Ave,Brooklyn,NY,11205,"cajun, bbq, soulfood, Cajun/Creole, Barbeque, Soul Food,","509 Myrtle Ave, Brooklyn, NY 11205,",Brooklyn,2
RfxOtJ4SQmEeVX_XjFLWUQ,otis-brooklyn-2,Otis,https://s3-media1.fl.yelpcdn.com/bphoto/2-wCZkm7v_aIvHuzuTsnhA/o.jpg,FALSE,https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,294,5,40.706011,-73.932598,character(0),$$,5996.21886337232,18 Harrison Pl,Brooklyn,NY,11206,"newamerican, cocktailbars, American (New), Cocktail Bars,","18 Harrison Pl, Brooklyn, NY 11206,",Brooklyn,2
roT-M9epcHDOGjYgGmWpoA,ras-plant-based-brooklyn,Ras Plant Based,https://s3-media1.fl.yelpcdn.com/bphoto/ZwL6l9QG3gF8ypiEWIOdzg/o.jpg,FALSE,https://www.yelp.com/biz/ras-plant-based-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,4,5,40.67341,-73.956712,"c(""pickup"", ""delivery"")",NA,2761.00995348909,739 Franklin Ave,Brooklyn,NY,11238,"ethiopian, vegan, Ethiopian, Vegan,","739 Franklin Ave, Brooklyn, NY 11238,",Brooklyn,NA
GA5msU6NO9rQRctPfDJCBg,peaches-hothouse-brooklyn,Peaches HotHouse,https://s3-media1.fl.yelpcdn.com/bphoto/KEAXgZGetzDf_pc4kse_mw/o.jpg,FALSE,https://www.yelp.com/biz/peaches-hothouse-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1161,4,40.6833699737169,-73.9437798410654,"c(""pickup"", ""delivery"")",$$,3471.52541981241,415 Tompkins Ave,Brooklyn,NY,11216,"southern, tradamerican, bars, Southern, American (Traditional), Bars,","415 Tompkins Ave, Brooklyn, NY 11216,",Brooklyn,2
