"CAMIS","DBA","ZIPCODE","CUISINE DESCRIPTION","reinspections","checks","violations","score","inspections","average_grade","BORO","BUILDING","STREET","SCORE","GRADE","GRADE DATE","GRADENUM","NAME","ADDRESS","lon","lat"
40363098,"DUNKIN' DONUTS",11201,"Donuts",4,22,21,424,9,2.75,"BROOKLYN","56","COURT STREET",12,"A","12/10/2018",3,"DUNKIN DONUTS","56 COURT STREET BROOKLYN",-73.9914075,40.6922354
40378035,"DUNKIN' DONUTS, BASKIN ROBBINS",11367,"Donuts",4,15,15,262,5,2.6,"QUEENS","15367","HORACE HARDING EXPRESSWAY",9,"A","01/14/2019",3,"DUNKIN DONUTS","15367 HORACE HARDING EXPRESSWAY QUEENS",-73.8153705,40.7394858
40379573,"DUNKIN' DONUTS",10475,"Donuts",0,6,6,58,3,3,"BRONX","4090","BOSTON POST ROAD",12,"A","07/27/2018",3,"DUNKIN DONUTS","4090 BOSTON POST ROAD BRONX",-73.8194532,40.8902325
40384820,"DUNKIN' DONUTS, BASKIN ROBBINS",11004,"Donuts",0,7,7,64,3,3,"QUEENS","25420","HILLSIDE AVENUE",12,"A","12/12/2018",3,"DUNKIN DONUTS","25420 HILLSIDE AVENUE QUEENS",-73.712456,40.7362012
40392410,"DUNKIN' DONUTS",11432,"Donuts",0,7,7,69,3,3,"QUEENS","8777","PARSONS BOULEVARD",7,"A","04/04/2019",3,"DUNKIN DONUTS","8777 PARSONS BOULEVARD QUEENS",-73.8022736,40.7073101
40393742,"POPEYES LOUISIANA KITCHEN/DUNKIN DONUTS",10027,"Chicken",3,12,12,197,5,3,"MANHATTAN","321","WEST  125 STREET",2,"A","02/28/2019",3,"DUNKIN DONUTS","321 WEST  125 STREET MANHATTAN",-73.9522855,40.8108423
40393787,"DUNKIN' DONUTS",11385,"Donuts",4,16,16,213,8,3,"QUEENS","5615","MYRTLE AVENUE",12,"A","01/14/2019",3,"DUNKIN DONUTS","5615 MYRTLE AVENUE QUEENS",-73.9056008,40.7003608
40399099,"STARBUCKS",10021,"Caf̩/Coffee/Tea",3,15,15,271,6,3,"MANHATTAN","1445","1 AVENUE",11,"A","10/29/2018",3,"STARBUCKS","1445 1 AVENUE MANHATTAN",-73.9546541,40.7699921
40399739,"DUNKIN' DONUTS, BASKIN ROBBINS",11378,"Donuts",6,14,14,183,6,2.63636363636364,"QUEENS","6103","FLUSHING AVENUE",22,"B","02/28/2019",2,"DUNKIN DONUTS","6103 FLUSHING AVENUE QUEENS",-73.9040094,40.7213403
40399787,"STARBUCKS",10065,"Caf̩/Coffee/Tea",3,13,13,287,6,3,"MANHATTAN","1128","3 AVENUE",4,"A","03/22/2019",3,"STARBUCKS","1128 3 AVENUE MANHATTAN",-73.9636516,40.7659246
40399886,"DUNKIN' DONUTS",11378,"Donuts",0,9,9,92,4,3,"QUEENS","6908","GRAND AVENUE",12,"A","08/02/2018",3,"DUNKIN DONUTS","6908 GRAND AVENUE QUEENS",-73.8946994,40.7259725
