id,alias,name,image_url,is_closed,url,review_count,rating,latitude,longitude,transactions,price,distance,street_address,city,state,zip_code,categories,full_address,borough,price_num
xYOJtt8WH7C9WPhohqEbcg,lips-cafe-brooklyn,Lips Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/sG2ac6HjMPwdFc4X9zBEMA/o.jpg,FALSE,https://www.yelp.com/biz/lips-cafe-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,16,5,40.6519264758132,-73.949863678108,character(0),NA,887.106069132439,1412 Nostrand Ave,Brooklyn,NY,11226,"cafes, coffee, caribbean, Cafes, Coffee & Tea, Caribbean,","1412 Nostrand Ave, Brooklyn, NY 11226,",Brooklyn,NA
9qNX3A1YlfW4YHFQ124u5A,little-roy-coffee-brooklyn,Little Roy Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/VzWdX0AMf3rPAi63N6dF-A/o.jpg,FALSE,https://www.yelp.com/biz/little-roy-coffee-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,10,4.5,40.65194,-73.94953,character(0),NA,858.845843729032,1413 Nostrand Ave,Brooklyn,NY,11226,"coffee, Coffee & Tea,","1413 Nostrand Ave, Brooklyn, NY 11226,",Brooklyn,NA
x_YWFkTcxEu1lo8Nlrog5A,milk-and-honey-cafe-brooklyn-2,Milk & Honey Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/rxgYiTt4J0VoMzGHaXcXfw/o.jpg,FALSE,https://www.yelp.com/biz/milk-and-honey-cafe-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,1008,4,40.634356735221,-73.9661046515558,character(0),$$,3014.2040492414,1119 Newkirk Ave,Brooklyn,NY,11230,"coffee, desserts, breakfast_brunch, Coffee & Tea, Desserts, Breakfast & Brunch,","1119 Newkirk Ave, Brooklyn, NY 11230,",Brooklyn,2
QxiSoPQeiiy_tx3vkRJYwg,cup-of-brooklyn-brooklyn,Cup of Brooklyn,https://s3-media4.fl.yelpcdn.com/bphoto/sRkGtSGSEuw0h6Yf6RnIFQ/o.jpg,FALSE,https://www.yelp.com/biz/cup-of-brooklyn-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,128,4.5,40.6894922335672,-73.9226088300347,"c(""pickup"", ""delivery"")",$$,4367.1006897424,1071B Gates Ave,Brooklyn,NY,11221,"coffee, Coffee & Tea,","1071B Gates Ave, Brooklyn, NY 11221,",Brooklyn,2
OKO0WahYFALIXKL9xoPLPQ,cafe-con-libros-brooklyn-2,Cafe con Libros,https://s3-media3.fl.yelpcdn.com/bphoto/K6bUeMohOpTtJbJcR-ATLA/o.jpg,FALSE,https://www.yelp.com/biz/cafe-con-libros-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,11,5,40.674261,-73.952563,character(0),NA,2678.0633326125,724 Prospect Pl,Brooklyn,NY,11216,"themedcafes, bookstores, coffee, Themed Cafes, Bookstores, Coffee & Tea,","724 Prospect Pl, Brooklyn, NY 11216,",Brooklyn,NA
XYsAltD_whl6jxwni7TxGg,coffee-rx-brooklyn-9,Coffee Rx,https://s3-media3.fl.yelpcdn.com/bphoto/k1dbp1V_mHRee33O9n5NcQ/o.jpg,FALSE,https://www.yelp.com/biz/coffee-rx-brooklyn-9?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,16,4.5,40.65973,-73.95325,character(0),NA,1428.66986970479,505 Rogers Ave,Brooklyn,NY,11225,"coffee, Coffee & Tea,","505 Rogers Ave, Brooklyn, NY 11225,",Brooklyn,NA
5VdUwmUWt8R8EhclxYiZOA,milk-and-pull-brooklyn-2,Milk & Pull,https://s3-media2.fl.yelpcdn.com/bphoto/un0D6PCI6viXDlVQx_yjGw/o.jpg,FALSE,https://www.yelp.com/biz/milk-and-pull-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,53,4,40.68148,-73.9286,character(0),$$,3365.998487713,307 Malcolm X Blvd,Brooklyn,NY,11233,"coffee, Coffee & Tea,","307 Malcolm X Blvd, Brooklyn, NY 11233,",Brooklyn,2
4kiTp1WyohpXl-DKvi0WGQ,hearts-coffee-bushwick-brooklyn,Hearts Coffee Bushwick,https://s3-media2.fl.yelpcdn.com/bphoto/D5-lso93ir4eRO1S_8U8og/o.jpg,FALSE,https://www.yelp.com/biz/hearts-coffee-bushwick-brooklyn?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,52,4.5,40.692306,-73.926483,character(0),$$,4564.78836074846,1207 Broadway,Brooklyn,NY,11221,"coffee, cakeshop, Coffee & Tea, Patisserie/Cake Shop,","1207 Broadway, Brooklyn, NY 11221,",Brooklyn,2
jZZMmT7Mk3S-fNjXcq3Ksg,devocion-williamsburg,Devocion,https://s3-media2.fl.yelpcdn.com/bphoto/33rJ0M41qXFWuQOIF382Ow/o.jpg,FALSE,https://www.yelp.com/biz/devocion-williamsburg?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,436,4,40.716083,-73.964752,character(0),$$,7400.95340225214,69 Grand St,Williamsburg,NY,11249,"coffee, cafes, coffeeroasteries, Coffee & Tea, Cafes, Coffee Roasteries,","69 Grand St, Williamsburg, NY 11249,",Brooklyn,2
pzqb1u_GeU-vkrk_KdFieQ,brooklyn-roasting-company-brooklyn-2,Brooklyn Roasting Company,https://s3-media2.fl.yelpcdn.com/bphoto/rlMVU9jW_veaGHNs_StUTQ/o.jpg,FALSE,https://www.yelp.com/biz/brooklyn-roasting-company-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,523,4,40.704228,-73.986241,character(0),$$,7001.97269585091,25 Jay St,Brooklyn,NY,11201,"coffee, Coffee & Tea,","25 Jay St, Brooklyn, NY 11201,",Brooklyn,2
P5IR6U5fKzFFeAXqxR0bnA,loud-baby-brooklyn-2,Loud Baby,https://s3-media2.fl.yelpcdn.com/bphoto/Z7BbXYpzrcJozesNejpvBw/o.jpg,FALSE,https://www.yelp.com/biz/loud-baby-brooklyn-2?adjust_creative=DLtXOp5zcMIXfhz6sc6tSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DLtXOp5zcMIXfhz6sc6tSg,49,4.5,40.6562924240669,-73.9601931324964,character(0),$,1811.70567619288,696 Flatbush Ave,Brooklyn,NY,11225,"coffee, Coffee & Tea,","696 Flatbush Ave, Store  3, Brooklyn, NY 11225,",Brooklyn,1
