ZIPCODE,TotalPop,Men,Women,Hisp_tot,White_tot,Black_tot,Nat_tot,Asian_tot,Pov_tot,Unemployment_tot,Men_pct,Hispanic_pct,White_pct,Black_pct,Native_pct,Asian_pct,Poverty_pct,Unemployment_pct
10185,982,448,534,70,715,22,0,175,78,61,45.621181262729124,7.128309572301425,72.81059063136456,2.240325865580448,0,17.820773930753564,7.942973523421588,6.211812627291242
10199,11942,6487,5455,1872,6766,482,33,2420,1393,996,54.320884273990956,15.675766203316027,56.65717635236979,4.036174845084576,0.2763356221738402,20.264612292748282,11.664712778429074,8.340311505610451
10268,6735,3484,3251,229,5078,101,0,1024,195,108,51.72976985894581,3.40014847809948,75.39717891610988,1.4996288047512991,0,15.20415738678545,2.89532293986637,1.6035634743875278
10271,8794,4214,4580,580,6094,211,0,1803,932,387,47.91903570616329,6.595405958608142,69.29724812372072,2.3993632021833067,0,20.502615419604275,10.598135092108256,4.400727768933364
10272,7378,3664,3714,428,4862,288,37,1608,612,258,49.66115478449444,5.801030089455137,65.89861751152074,3.9034968826240175,0.5014909189482245,21.79452426131743,8.294930875576037,3.4968826240173487
10274,6735,3484,3251,229,5078,101,0,1024,195,108,51.72976985894581,3.40014847809948,75.39717891610988,1.4996288047512991,0,15.20415738678545,2.89532293986637,1.6035634743875278
10276,5338,2464,2874,240,3742,294,0,923,614,347,46.159610340951666,4.496065942300486,70.10116148370176,5.507680779318096,0,17.291120269763958,11.50243536905208,6.500562008242787
10278,2673,1251,1422,195,1526,198,11,634,350,331,46.801346801346796,7.295173961840629,57.0894126449682,7.4074074074074066,0.411522633744856,23.718668163112607,13.09390198279087,12.383090160867939
10279,6735,3484,3251,229,5078,101,0,1024,195,108,51.72976985894581,3.40014847809948,75.39717891610988,1.4996288047512991,0,15.20415738678545,2.89532293986637,1.6035634743875278
10280,15762,7846,7916,1582,10231,214,0,2974,644,509,49.77794696104556,10.036797360741023,64.90927547265576,1.357695723892907,0,18.868163938586473,4.085775916761833,3.229285623651821
10281,8875,4467,4408,666,6195,124,0,1411,382,240,50.332394366197185,7.504225352112676,69.80281690140845,1.3971830985915492,0,15.898591549295773,4.3042253521126765,2.704225352112676
10282,20826,10313,10513,1474,14987,491,0,2831,900,494,49.519830980505134,7.077691347354269,71.96293095169499,2.3576298857197733,0,13.593584941899547,4.32152117545376,2.3720349563046192
10285,8875,4467,4408,666,6195,124,0,1411,382,240,50.332394366197185,7.504225352112676,69.80281690140845,1.3971830985915492,0,15.898591549295773,4.3042253521126765,2.704225352112676
10301,64152,32080,32072,14439,30964,13086,69,3852,10925,4885,50.00623519142038,22.50748222970445,48.266616785135305,20.398428731762063,0.10755705200149646,6.004489337822671,17.029866566903603,7.61472752213493
10302,33898,16956,16942,10611,14595,5531,15,2372,6135,1914,50.020650185851665,31.30273172458552,43.05563750073751,16.316596849371646,0.04425039825358428,6.997462977166795,18.098412885715973,5.646350817157354
10303,50827,24499,26328,17383,15484,12772,23,4064,11111,3373,48.20075943888091,34.20032659806795,30.46412339898086,25.128376650205595,0.045251539536073346,7.995750290200091,21.860428512404827,6.636236645877192
10304,58799,27597,31202,14416,25548,11487,279,5692,11092,4480,46.934471674688346,24.5174237657103,43.449718532628104,19.536046531403596,0.4744978656099593,9.680436742121465,18.864266399088418,7.619177196891104
10305,53859,25747,28112,8884,35131,2399,80,6378,6720,3797,47.804452366364025,16.494921925769138,65.22772424293062,4.454223063926178,0.14853599212759241,11.842031972372306,12.477023338717764,7.049889526355855
10306,69255,33338,35917,8622,54439,1063,8,4501,5599,4560,48.13804057468774,12.449642625081221,78.60659880153058,1.5349072269150241,0.011551512526171396,6.4991697350371815,8.084614829254205,6.584362139917696
10307,15557,7318,8239,1018,13682,25,29,630,960,1074,47.039917721925825,6.543678087034775,87.947547727711,0.16069936363052004,0.18641126181140322,4.049623963489105,6.170855563411968,6.9036446615671405
10308,46062,22493,23569,4032,39320,79,49,2202,3436,3578,48.83200903130563,8.753419304415786,85.3632061134992,0.1715079675220355,0.1063783596022752,4.780513221310407,7.459511093743215,7.767791237896748
10309,52210,25842,26368,4934,43595,508,80,2605,4267,2957,49.49626508331737,9.450296877992722,83.49932963033902,0.9729936793717678,0.15322735108216817,4.989465619613101,8.172763838345144,5.6636659643746405
10310,36499,17873,18626,8711,19622,5716,0,1831,5731,3499,48.968464889449024,23.866407298830104,53.76037699663004,15.660703032959807,0,5.0165757965971665,15.70180004931642,9.586564015452478
10311,7644,3882,3762,780,6176,84,0,604,420,619,50.784929356357935,10.204081632653061,80.79539508110936,1.098901098901099,0,7.901622187336472,5.4945054945054945,8.097854526425955
10312,95771,46511,49260,8648,80714,790,76,4805,7715,6321,48.56480563009679,9.029873343705297,84.27812176963799,0.8248843595660481,0.07935596370508818,5.017176389512483,8.055674473483622,6.600119033945558
10313,6542,3037,3505,1086,4390,85,0,962,726,307,46.423112198104555,16.6004280036686,67.1048608988077,1.2992968511158667,0,14.70498318557016,11.097523693060227,4.692754509324366
10314,112697,54424,58273,16424,74030,5420,16,14780,10038,6553,48.292323664338895,14.573591133748016,65.68941497999059,4.809356060942172,0.014197361065511949,13.11481228426666,8.907069398475558,5.814706691393737
10451,76341,34498,41843,46610,1524,25560,490,1216,27989,11993,45.18934779476297,61.05500320928465,1.9963060478641885,33.48135340118678,0.6418569313999031,1.5928531195556779,36.663129903983446,15.709775874038852
10452,95806,46038,49768,61370,5345,26606,78,1298,37717,13512,48.05335782727595,64.05653090620629,5.578982527190364,27.77070329624449,0.08141452518631401,1.3548212011773793,39.36809803143853,14.103500824583012
10453,100156,46912,53244,70243,1290,26032,213,1676,42012,14511,46.83893126722313,70.13359159710852,1.2879907344542514,25.99145333280083,0.2126682375494229,1.6733895123607172,41.9465633611566,14.488398098965613
10454,54640,25985,28655,39252,663,13865,234,260,25322,8234,47.55673499267935,71.83748169838947,1.2133967789165447,25.375183016105417,0.42825768667642755,0.4758418740849195,46.34333821376281,15.069546120058567
10455,75388,36002,39386,51642,1389,20830,106,646,31168,10512,47.75561097256858,68.50161829468881,1.842468297341752,27.63039210484427,0.14060593197856422,0.8569003024354008,41.34344988592349,13.943863744893086
10456,126727,57639,69088,76675,1787,44592,759,1362,50407,20325,45.4828095038942,60.50407569026333,1.4101178123051914,35.18745018819983,0.5989252487630892,1.0747512369108398,39.776054037419016,16.03841328209458
10457,117248,54012,63236,76348,3061,34971,191,1257,49902,19907,46.066457423580786,65.11667576419214,2.6107055131004366,29.826521561135372,0.1629025655021834,1.072086517467249,42.56106713973799,16.978541211790393
10458,98728,47533,51195,64835,10775,17887,226,3118,38032,15726,48.14540961024228,65.67032655376389,10.913823839235071,18.11745401507171,0.22891175755611376,3.158171947167977,38.52199983793858,15.928611943926748
10459,78328,36474,41854,54128,991,21430,162,621,30079,10495,46.56572362373608,69.10427944030232,1.2651925237462975,27.35930957001328,0.2068225921764886,0.7928199366765396,38.40133796343581,13.398784598100297
10460,79339,36368,42971,53760,2613,20983,26,1126,32711,16390,45.83874261082192,67.7598658919321,3.293462231689333,26.447270573110327,0.03277076847452073,1.4192263577811668,41.22940798346337,20.658188280669027
10461,60986,29378,31608,27779,21009,4657,64,6465,10166,6536,48.17171154035352,45.54979831436723,34.44888990915948,7.6361787951333095,0.10494211786311614,10.60079362476634,16.66939953431935,10.717213786770733
10462,106968,50774,56194,53933,14419,25004,93,11109,22204,15017,47.466532046967316,50.419751701443424,13.47973225637574,23.37521501757535,0.0869418891631142,10.38534888938748,20.75760975244933,14.038777952284795
10463,84025,39816,44209,38776,28141,12187,259,3072,14317,8864,47.38589705444808,46.148170187444215,33.49122285034216,14.504016661707825,0.30824159476346324,3.6560547456114247,17.038976495090747,10.549241297232967
10464,7777,3428,4349,2211,3626,1471,0,330,420,508,44.07869358364408,28.42998585572843,46.624662466246626,18.914748617718917,0,4.243281471004243,5.4005400540054005,6.532081779606531
10465,50954,24641,26313,19789,23276,4955,35,1957,7863,5018,48.35930447069906,38.83699022647878,45.68041763158928,9.724457353691566,0.06868940613102013,3.840719079954469,15.431565725948895,9.848098284727401
10466,88238,40372,47866,19773,3585,60902,30,2036,18399,10963,45.7535302250731,22.408712799474152,4.062875405154242,69.02015004873185,0.03399895736530747,2.307395906525533,20.851560552143066,12.42435231986219
10467,110483,52769,57714,54094,9493,37347,171,7012,32633,17618,47.76209914647502,48.961378673642095,8.592272114261924,33.80339056687454,0.15477494275137352,6.346677769430591,29.53667080003258,15.946344686512855
10468,95483,45307,50176,68920,4409,16722,195,4048,30976,14222,47.45033147261816,72.18038813191878,4.617575903563985,17.513065152959165,0.20422483583465117,4.239498130557272,32.44137699904695,14.894798026873893
10469,104995,48191,56804,29162,10880,58050,290,4373,19612,15904,45.898376113148245,27.77465593599695,10.362398209438545,55.28834706414592,0.2762036287442259,4.164960236201724,18.67898471355779,15.147387970855755
10470,23870,11444,12426,5312,6772,10478,15,805,4295,3108,47.943024717218265,22.253875157100964,28.370339338081273,43.896103896103895,0.06284038542103058,3.3724340175953076,17.99329702555509,13.020527859237538
10471,30665,14221,16444,6827,19364,1890,27,2050,3364,2465,46.37534648622208,22.263166476438936,63.14691015816077,6.163378444480679,0.08804826349258112,6.685145931844122,10.970161421816403,8.038480352193055
10472,79567,38563,41004,49437,1995,19860,239,5308,26947,10182,48.46607261804517,62.13254238566239,2.5073208742317794,24.960096522427637,0.30037578393052394,6.6711073686327245,33.86705543755577,12.796762476906254
10473,59659,26676,32983,35678,1456,20167,54,1267,17102,7535,44.7141252786671,59.80321493823229,2.440537052246937,33.803784843862616,0.0905144236410265,2.123736569503344,28.666253205719173,12.630114483983975
